Name;Age;Nationality;Overall;Potential;Club;Preferred Foot;Work Rate;Real Face;Position;Finishing;HeadingAccuracy;Dribbling;BallControl;Acceleration;Agility;ShotPower;Stamina;Strength;Aggression;Penalties
M. Kobylański;24;Poland;67;71;SC Preußen Münster;Right;Medium/ Medium;No;RCM;65;48;70;68;73;78;78;63;57;51;58
B. Hines-Ike;23;United States;67;73;KV Kortrijk;Right;High/ Medium;No;LCB;37;64;51;60;67;64;63;71;72;70;42
A. Campbell;19;Scotland;67;77;Motherwell;Right;Medium/ High;No;LCM;46;50;58;63;71;67;58;79;66;73;53
S. Kaikai;22;England;67;73;Crystal Palace;Right;Medium/ Low;Yes;LM;62;41;75;71;79;81;65;54;54;32;68
F. Onyedinma;21;Nigeria;67;75;Wycombe Wanderers;Right;Medium/ Medium;No;LM;64;58;68;68;85;79;62;67;78;57;60
N. Aguerd;22;Morocco;67;75;Dijon FCO;Left;Medium/ Medium;No;CB;34;68;56;66;51;49;62;64;71;68;48
Wellington;30;Brazil;67;67;Vissel Kobe;Right;High/ Medium;No;ST;69;72;59;56;58;56;70;56;90;74;62
F. Raičević;24;Montenegro;67;71;Livorno;Right;High/ Low;No;LS;67;76;55;68;61;63;70;61;74;49;49
M. Szwoch;25;Poland;67;71;Wisła Płock;Right;Medium/ Medium;No;CAM;53;53;68;70;80;76;68;69;33;48;60
M. Connolly;30;England;67;67;Cardiff City;Right;Medium/ High;No;RB;44;72;55;64;55;41;63;64;76;73;38
R. Le Normand;21;France;67;79;Real Sociedad;Right;Medium/ Medium;No;CB;19;69;22;56;54;42;40;54;73;63;34
W. Buckley;28;England;67;67;Bolton Wanderers;Right;High/ Medium;No;LM;64;47;64;69;75;79;63;66;64;62;70
L. Vilsvik;29;Norway;67;67;Strømsgodset IF;Right;Medium/ Medium;No;RB;56;66;62;64;71;74;71;84;70;62;58
J. Flanagan;25;England;67;71;Rangers FC;Right;Low/ Medium;Yes;RB;40;68;62;65;68;67;33;64;74;88;45
V. Yurchenko;24;Ukraine;67;73;Vejle Boldklub;Right;Medium/ Medium;No;CM;64;48;71;73;66;74;63;60;54;44;63
A. Stephens;23;Panama;67;70;Santa Clara;Right;High/ Medium;No;ST;70;54;72;71;67;56;65;68;46;21;68
Héctor Verdés;34;Spain;67;67;CF Rayo Majadahonda;Right;Low/ Medium;No;CB;20;72;34;42;34;32;75;54;85;88;32
C. Evans;29;Wales;67;67;Fleetwood Town;Right;High/ Medium;No;ST;66;66;55;63;61;66;76;55;77;81;64
M. Koch;23;Netherlands;67;73;NAC Breda;Right;Low/ Medium;No;CB;22;77;40;60;39;59;47;60;76;57;65
Guruzeta;21;Spain;67;78;Athletic Club de Bilbao;Right;High/ Medium;No;ST;72;67;67;68;70;71;67;54;56;31;71
J. Aja;25;Uruguay;67;70;Vancouver Whitecaps FC;Right;Low/ High;No;CB;28;69;44;48;68;58;53;71;79;76;58
Josema;22;Spain;67;75;FC Sochaux-Montbéliard;Right;Medium/ Medium;No;CB;23;65;31;53;59;35;49;53;69;55;48
Quini;28;Spain;67;67;Granada CF;Right;High/ Medium;No;RB;62;58;69;70;73;77;49;71;62;59;58
D. Lovitz;26;United States;67;68;Montreal Impact;Left;Medium/ High;No;LB;52;55;63;61;79;68;61;79;69;74;53
José Kanté;27;Guinea;67;67;Legia Warszawa;Right;Medium/ Medium;No;ST;70;62;74;72;65;77;62;71;60;44;66
H. Maïga;22;Ivory Coast;67;79;FC Metz;Right;Medium/ Medium;No;CDM;43;58;63;67;72;59;61;72;73;66;56
M. Lumb;30;Denmark;67;67;AC Horsens;Left;Medium/ Medium;No;LB;48;60;62;65;69;70;72;74;73;78;30
B. Koïta;24;Niger;67;71;Amiens SC;Right;Medium/ Low;No;ST;65;73;67;67;63;59;72;63;69;58;59
V. Eicher;27;Germany;67;69;1. FC Heidenheim 1846;Left;Medium/ Medium;No;GK;15;12;12;24;46;48;18;36;72;37;14
F. Rodríguez;36;Mexico;67;67;Lobos BUAP;Right;Low/ High;No;LCB;37;68;37;44;35;30;61;38;90;78;52
D. Lafferty;29;Northern Ireland;67;67;Sheffield United;Left;Medium/ Medium;Yes;LWB;52;59;57;64;70;72;62;79;62;61;45
J. Newell;25;England;67;68;Rotherham United;Left;Medium/ Medium;No;LM;59;62;67;64;76;67;60;77;64;43;63
B. Romo;29;Chile;67;67;CD Antofagasta;Right;Low/ High;No;LCB;24;67;43;51;59;53;40;68;85;66;32
T. Thiele;26;Germany;67;68;1. FC Kaiserslautern;Right;High/ Medium;No;LS;62;59;64;62;72;63;69;75;76;30;63
D. Mesenhöler;22;Germany;67;75;MSV Duisburg;Right;Medium/ Medium;No;GK;15;14;12;21;50;34;19;33;63;21;23
Tomás Nuninho;34;Brazil;67;67;Santos;Left;Medium/ Medium;No;CDM;43;66;61;63;48;52;61;68;83;78;51
A. Saroka;26;Belarus;67;70;Sporting Lokeren;Right;High/ Medium;No;ST;68;60;60;67;63;53;69;64;76;29;70
M. Dreyer;29;France;67;68;Amiens SC;Right;Medium/ Medium;No;GK;10;14;16;21;47;45;16;27;68;21;11
Y. Toutouh;25;Denmark;67;68;Aarhus GF;Right;Medium/ Medium;No;LM;60;57;68;68;74;69;62;65;71;60;44
A. Vargas;29;Colombia;67;67;Deportivo Pasto;Right;Medium/ Low;No;CAM;58;41;67;67;65;70;67;52;58;49;57
S. Ojo;21;England;67;79;Stade de Reims;Left;Medium/ Low;Yes;RW;64;44;72;68;78;70;56;55;63;44;66
Ramon Lopes;28;Brazil;67;67;Vegalta Sendai;Left;High/ Low;No;ST;65;68;69;70;62;71;67;68;81;40;56
G. Zarfino;26;Uruguay;67;68;Extremadura UD;Right;High/ High;No;RDM;34;61;64;68;57;44;67;81;71;80;53
N. Gerzić;34;Sweden;67;67;Örebro SK;Right;Medium/ Medium;No;LCM;43;34;67;71;59;68;57;65;66;75;60
M. Godden;26;England;67;67;Peterborough United;Right;High/ Medium;No;RS;70;65;58;65;69;74;68;73;65;57;65
Y. Tafer;27;Algeria;67;67;FC St. Gallen;Left;Medium/ Medium;Yes;RW;62;52;68;65;74;72;68;64;56;44;65
A. Koura;25;Burkina Faso;67;71;AS Nancy Lorraine;Right;Medium/ Medium;No;ST;64;59;69;65;90;80;66;57;64;46;54
David Bruno;26;Portugal;67;70;CD Tondela;Right;Medium/ Medium;No;RB;34;48;62;67;69;72;34;78;59;71;42
Fepe Avedo;30;Brazil;67;67;Bahia;Right;Medium/ Medium;No;GK;25;20;22;15;54;61;15;37;64;37;20
F. Signorelli;27;Venezuela;67;67;US Salernitana 1919;Right;Medium/ Medium;No;CM;45;55;61;64;66;73;66;80;65;72;47
J. Jørgensen;29;Norway;67;67;Sarpsborg 08 FF;Right;Low/ High;No;RCB;49;57;56;62;62;76;74;79;82;75;56
I. Chebake;28;Morocco;67;67;Yeni Malatyaspor;Right;Medium/ Medium;No;RB;35;74;69;60;68;72;48;69;64;74;44
M. Kenlock;21;England;67;78;Ipswich Town;Left;Medium/ Medium;No;LB;26;64;67;66;76;73;39;71;67;73;36
Mateus Tangil;30;Brazil;67;67;América FC (Minas Gerais);Right;Medium/ Medium;No;GK;14;15;19;22;46;74;22;45;75;42;20
Hwang Jin Sung;34;Korea Republic;67;67;Gangwon FC;Left;High/ Low;No;CAM;70;52;66;70;72;71;70;53;68;33;69
N. Maynard;31;England;67;67;Bury;Right;High/ Low;No;LS;67;62;65;65;75;77;66;68;66;61;63
L. Cháves;22;Argentina;67;73;Argentinos Juniors;Right;Medium/ Medium;No;GK;13;17;17;18;49;35;17;43;51;24;21
K. Paal;21;Netherlands;67;76;PEC Zwolle;Left;High/ Medium;No;LB;47;60;72;70;78;74;62;59;66;67;45
M. Campos;24;Chile;67;71;CD Palestino;Right;Medium/ Medium;No;ST;71;63;65;67;72;62;69;66;68;56;64
B. Hamer;30;England;67;67;Huddersfield Town;Right;Medium/ Medium;Yes;GK;20;11;18;23;45;50;23;35;64;34;22
A. Jung;26;Germany;67;68;Brøndby IF;Left;High/ Medium;No;LB;52;63;64;68;72;63;72;79;73;67;50
C. Morgan;33;Wales;67;67;Fleetwood Town;Right;Medium/ Medium;No;RCB;24;71;21;55;29;27;46;59;77;59;43
Y. Konno;35;Japan;67;67;Gamba Osaka;Right;Medium/ Medium;Yes;LCM;53;70;46;57;34;58;46;51;71;70;29
P. Pellegri;17;Italy;67;88;AS Monaco;Right;High/ Medium;No;ST;70;59;68;67;61;61;64;60;67;35;59
F. Andriatsima;34;Madagascar;67;67;Clermont Foot 63;Right;High/ Medium;No;ST;68;67;57;69;46;52;65;71;73;53;65
E. Soriano;29;Germany;67;67;Korona Kielce;Right;Medium/ Medium;No;ST;67;68;65;61;71;68;69;85;77;58;66
N. Poulsen;24;Denmark;67;71;Randers FC;Right;Medium/ Medium;No;RCM;41;53;64;66;61;69;53;81;67;61;41
A. Ba;24;Mauritania;67;70;AJ Auxerre;Left;Low/ Low;No;CB;30;71;36;52;45;34;41;65;90;62;47
L. Šimić;21;Croatia;67;76;SPAL;Right;Low/ High;No;CB;30;72;39;46;52;38;47;54;77;58;40
M. Baudry;30;France;67;67;Milton Keynes Dons;Right;Medium/ High;No;CB;28;72;60;55;65;64;43;70;70;60;40
M. Tandjigora;28;Gabon;67;67;Os Belenenses;Right;Medium/ High;No;CDM;27;56;58;64;75;77;75;85;63;72;37
D. Mendoza;25;Argentina;67;69;Club Atlético Huracán;Right;High/ Low;No;ST;67;69;64;66;53;63;71;65;78;30;65
Ren Hang;29;China PR;67;67;Hebei China Fortune FC;Left;Medium/ Medium;No;LCB;49;59;60;59;67;58;57;77;78;64;37
Caro;24;Spain;67;73;Albacete BP;Right;Medium/ Medium;No;GK;14;23;17;20;34;33;49;42;65;16;51
R. Koike;22;Japan;67;70;Kashiwa Reysol;Right;High/ Medium;No;RB;23;37;64;65;90;78;37;84;45;61;33
J. Nikolaou;24;Germany;67;72;SG Dynamo Dresden;Left;Medium/ High;No;LCM;24;60;38;56;62;58;41;71;78;80;57
Cristian Rivero;20;Spain;67;79;Valencia CF;Right;Medium/ Medium;No;GK;7;10;8;17;20;38;16;20;54;27;18
F. Amuzu;18;Belgium;67;81;RSC Anderlecht;Right;High/ Medium;No;LF;62;32;71;65;91;83;68;60;58;32;58
V. Lundberg;27;Sweden;67;68;BK Häcken;Right;High/ Medium;No;RW;66;66;65;64;63;68;72;81;71;75;61
Yago;22;Brazil;67;74;Al Qadisiyah;Right;Medium/ Medium;No;CDM;39;55;60;64;67;64;65;73;77;71;53
Traeira Lopes;26;Brazil;67;67;Vitória;Left;Medium/ Medium;No;GK;9;9;8;21;38;24;23;39;82;38;24
C. Grindheim;34;Norway;67;67;FK Haugesund;Right;Medium/ High;No;CAM;54;63;64;69;45;60;70;66;75;66;55
M. Álvarez;26;Germany;67;68;VfL Osnabrück;Right;High/ High;No;ST;64;58;67;71;69;71;69;68;72;53;66
D. Malone;29;Suriname;67;67;ADO Den Haag;Right;Medium/ High;No;LCM;30;62;62;64;41;54;68;72;82;80;33
A. Gasbarro;23;Italy;67;72;Livorno;Left;Medium/ Medium;No;LCB;26;62;57;57;67;47;42;79;76;67;42
S. May;25;Scotland;67;70;Aberdeen;Right;High/ Medium;No;ST;64;65;65;66;69;72;65;82;67;47;62
Miguel Flaño;33;Spain;67;67;CA Osasuna;Right;Medium/ Medium;No;CB;45;65;43;58;55;65;52;71;80;78;52
B. Thompson;22;England;67;74;Portsmouth;Right;High/ High;No;LCM;48;59;64;67;71;84;62;77;74;71;45
Paulo Henrique;20;Brazil;67;74;Portimonense SC;Right;Medium/ Medium;No;RW;63;31;71;70;84;78;61;68;44;47;51
Marcelo Djaló;24;Spain;67;72;Extremadura UD;Right;Medium/ Medium;No;CB;22;67;39;52;31;27;61;46;90;72;32
A. Seydel;22;Germany;67;76;Holstein Kiel;Left;Medium/ Medium;No;ST;68;72;68;70;67;55;66;63;77;55;55
A. Al Fraidi;30;Saudi Arabia;67;67;Al Nassr;Right;Medium/ Low;No;CAM;63;54;68;70;59;82;61;66;66;66;55
J. Wójcicki;29;Poland;67;67;Jagiellonia Białystok;Right;High/ Medium;No;RB;57;59;64;63;75;76;56;81;80;31;41
C. Hountondji;24;Benin;67;72;New York City FC;Right;Medium/ Medium;No;CB;28;70;43;54;50;52;48;58;82;69;45
I. Mhirsi;24;Tunisia;67;73;Red Star FC;Right;High/ Low;No;LM;59;50;69;69;69;74;63;59;59;36;60
Ji Xiang;28;China PR;67;67;Jiangsu Suning FC;Right;High/ Medium;No;RB;60;65;63;61;70;62;70;74;79;63;50
J. Young;32;England;67;67;Brisbane Roar;Left;Medium/ Medium;No;GK;15;15;14;22;50;45;24;38;66;43;20
Welliton Helmes;30;Brazil;67;67;Internacional;Right;Medium/ Medium;No;CAM;65;40;72;71;76;74;62;64;53;51;63
E. Grezda;23;Albania;67;74;Rangers FC;Right;High/ Medium;No;RW;59;44;72;66;91;85;60;59;58;54;56
S. Mielitz;28;Germany;67;68;SønderjyskE;Right;Medium/ Medium;No;GK;12;19;15;20;43;67;20;30;63;27;16
P. Riese;28;Germany;67;67;FC Erzgebirge Aue;Left;High/ High;No;RCM;49;41;59;61;71;70;65;87;66;75;61
N. Körber;21;Germany;67;79;VfL Osnabrück;Right;Medium/ Medium;No;GK;11;17;18;20;33;46;20;28;55;22;15
A. Rodriguez;25;Uruguay;67;67;Unión La Calera;Right;Medium/ High;No;RCM;54;59;68;65;66;57;70;69;76;72;55
A. Calisir;28;Sweden;67;69;IFK Göteborg;Right;Medium/ Medium;No;CB;25;58;47;57;59;64;44;65;72;82;56
R. Torres;26;Colombia;67;68;Alianza Petrolera;Left;Medium/ Low;No;CAM;57;52;68;65;81;91;70;65;34;45;64
R. McKenzie;24;Scotland;67;70;Kilmarnock;Right;High/ Medium;No;RM;61;60;64;66;83;93;51;75;64;69;63
D. Iorfa;23;England;67;71;Wolverhampton Wanderers;Right;High/ Medium;No;RWB;25;60;62;61;83;59;47;71;79;76;31
L. Rosseti;23;Italy;67;74;Ascoli;Right;High/ Medium;No;ST;66;67;63;63;64;60;67;72;75;58;62
Dani Ojeda;23;Spain;67;72;CD Leganés;Right;Medium/ Medium;No;LM;69;62;66;68;71;61;61;71;62;38;72
M. Preston;23;England;67;70;Mansfield Town;Right;Medium/ High;No;RCB;24;63;34;53;71;62;49;73;86;79;51
Josan;28;Spain;67;67;Elche CF;Right;Medium/ Medium;No;RM;57;46;73;68;82;77;68;65;44;36;61
P. Dahlberg;19;Sweden;67;80;Watford;Right;Medium/ Medium;No;GK;5;11;10;30;25;24;20;35;61;30;12
Kim Ho Jun;34;Korea Republic;67;67;Gangwon FC;Right;Medium/ Medium;No;GK;13;13;16;15;54;53;12;23;68;21;17
A. Calello;31;Argentina;67;67;Club Atlético Banfield;Right;Medium/ High;No;LDM;34;47;60;69;55;66;48;84;68;60;41
J. Sims;21;England;67;77;Reading;Right;High/ Medium;Yes;RW;62;42;73;68;85;83;64;55;51;37;67
B. Borrello;22;Australia;67;73;SC Freiburg;Right;High/ Low;No;RM;65;39;69;66;82;83;70;66;71;59;57
T. Andreu;30;France;67;67;Coventry City;Right;High/ Low;No;CAM;65;61;66;65;61;67;68;64;65;59;59
J. Hendry;23;Scotland;67;74;Celtic;Right;Medium/ Medium;No;CB;26;65;61;62;70;60;50;71;77;72;37
O. Albornoz;22;Colombia;67;76;Deportes Tolima;Left;Low/ Medium;No;LB;48;58;55;65;74;73;22;81;63;48;39
M. Thiam;23;Senegal;67;76;Barnsley;Right;Medium/ Medium;No;LM;63;59;70;68;72;75;66;67;82;54;63
B. Djimsiti;25;Albania;67;74;Atalanta;Right;Medium/ Medium;No;CB;36;70;34;65;39;44;52;61;76;72;38
Y. Regäsel;22;Germany;67;74;MSV Duisburg;Right;Medium/ Medium;No;RB;31;48;65;69;71;73;51;69;62;72;39
Jo Young Cheol;29;Korea Republic;67;67;Gyeongnam FC;Right;High/ Medium;No;RS;59;54;67;66;78;74;66;66;54;61;61
L. Kassi;23;Ivory Coast;67;71;Stabæk Fotball;Right;Medium/ Medium;No;CAM;62;48;66;66;77;77;68;73;61;58;59
A. Mowatt;23;England;67;75;Barnsley;Left;Medium/ Low;No;LCM;64;49;66;71;44;61;74;66;66;65;60
H. Rivera;24;Colombia;67;70;Alianza Petrolera;Right;Medium/ Medium;No;LM;61;38;66;67;71;78;59;72;66;37;69
André Claro;27;Portugal;67;67;Boavista FC;Right;Medium/ Medium;No;LM;59;63;70;70;67;67;70;69;67;53;73
Felipe Saad;34;Brazil;67;67;FC Lorient;Left;Low/ Medium;No;RCB;36;69;41;55;51;64;70;70;80;70;66
Asdrúbal;27;Spain;67;68;AD Alcorcón;Right;High/ High;No;ST;61;51;69;70;76;91;69;79;79;79;64
S. Nieuwpoort;25;Netherlands;67;70;De Graafschap;Right;Medium/ Medium;No;RCB;25;55;57;58;70;62;28;59;67;72;58
Clemente;34;Portugal;67;67;Santa Clara;Right;High/ Medium;No;ST;70;74;64;65;52;68;70;51;68;52;66
Luan Peres;23;Brazil;67;72;Club Brugge KV;Left;Medium/ Medium;No;CB;30;69;47;57;62;62;47;65;76;47;41
A. Lioi;21;Argentina;67;79;Rosario Central;Right;Medium/ Medium;No;RM;65;45;71;68;71;70;61;74;51;48;53
M. López;27;Argentina;67;70;Cádiz CF;Right;High/ Low;No;LCB;32;75;57;63;54;32;50;65;71;62;38
E. Vega;28;Ecuador;67;68;;Right;Medium/ Medium;No;CDM;19;67;66;66;68;63;66;79;64;71;60
A. Messaoud;27;Morocco;67;67;Excelsior;Right;Medium/ Low;No;CAM;64;39;68;70;60;67;59;63;68;57;60
L. Silva;29;United States;67;67;Real Salt Lake;Right;Medium/ Medium;No;ST;68;59;66;67;58;65;73;68;69;72;69
J. Højbjerg;23;Denmark;67;76;Esbjerg fB;Left;Medium/ Medium;No;GK;13;15;16;18;48;34;25;28;54;20;23
J. Delgado;25;Chile;67;69;CD Tondela;Right;Medium/ Medium;No;LM;63;60;68;70;81;78;63;56;68;53;64
M. Schwäbe;23;Germany;67;73;Brøndby IF;Right;Medium/ Medium;No;GK;15;15;20;35;49;37;36;28;64;28;28
Kwon Kyung Won;26;Korea Republic;67;71;Tianjin Quanjian FC;Left;Low/ High;No;LCB;34;66;57;59;68;69;47;71;80;68;41
M. Zetterer;22;Germany;67;75;SV Werder Bremen;Right;Medium/ Medium;No;GK;16;18;17;23;39;32;22;38;69;27;15
Fred Soidares;34;Brazil;67;67;Paraná;Left;Medium/ Medium;No;LB;40;73;56;57;60;52;71;65;77;71;49
L. Menalo;21;Bosnia Herzegovina;67;75;Dinamo Zagreb;Right;Medium/ Medium;No;LW;67;39;75;73;79;58;64;54;55;42;45
Juan Muñiz;26;Spain;67;68;CD Lugo;Left;Medium/ Low;No;RM;59;47;66;69;63;66;79;59;64;53;70
Kike Márquez;28;Spain;67;67;Extremadura UD;Right;Medium/ Low;No;LM;66;44;70;67;69;72;75;54;59;76;76
P. Netzer;32;Austria;67;67;SCR Altach;Left;Medium/ High;No;CB;38;72;55;60;48;42;66;66;70;73;35
S. Skarlatidis;27;Germany;67;67;FC Würzburger Kickers;Right;Medium/ Medium;No;LM;60;35;68;65;83;85;69;70;39;59;50
L. Owona;27;Cameroon;67;69;UD Almería;Right;Low/ High;No;RCB;45;69;22;61;52;69;55;70;74;68;45
J. Samuelsen;33;Norway;67;67;Odds BK;Right;High/ High;No;RCM;59;57;66;67;60;72;65;71;65;68;50
J. Cummings;22;Scotland;67;75;Peterborough United;Left;High/ Medium;No;ST;70;60;70;67;71;67;69;64;60;60;68
R. Preißinger;21;Germany;67;75;1. FC Magdeburg;Left;High/ High;No;LCM;54;61;62;65;66;65;63;86;73;70;48
S. Pettinari;26;Italy;67;68;Lecce;Right;High/ Medium;No;ST;66;59;68;70;74;80;65;77;73;66;60
N. Dams;28;Germany;67;67;SV Wehen Wiesbaden;Right;Medium/ Medium;No;LDM;22;61;46;54;63;65;55;68;72;69;42
B. Edomwonyi;23;Nigeria;67;74;FK Austria Wien;Right;Medium/ Medium;No;ST;64;63;71;66;86;73;63;77;70;53;58
R. Naranjo;38;Chile;67;67;Deportes Iquique;Right;Medium/ Medium;No;GK;16;14;11;20;36;35;16;25;79;20;21
J. Tinhan;29;Benin;67;67;ESTAC Troyes;Right;Medium/ Medium;No;ST;68;60;69;64;72;81;67;62;68;49;67
H. Mizumoto;32;Japan;67;67;Sanfrecce Hiroshima;Right;Low/ Medium;No;RCB;32;67;38;50;56;69;47;52;71;63;44
A. Brosque;34;Australia;67;67;Sydney FC;Left;Medium/ Low;No;RS;70;55;69;63;74;74;65;69;61;35;71
S. Becker;23;Netherlands;67;73;ADO Den Haag;Right;High/ Medium;No;RW;57;42;70;67;91;74;72;72;70;53;64
Yu Rui;25;China PR;67;71;Changchun Yatai FC;Right;Medium/ Medium;No;RCB;33;70;52;54;57;29;41;69;77;54;33
P. Senderos;33;Switzerland;67;67;Houston Dynamo;Right;Low/ Medium;Yes;CB;32;69;31;52;31;29;60;63;85;75;40
F. Rodríguez;31;Colombia;67;67;Rionegro Águilas;Right;Low/ Medium;No;RDM;32;72;44;55;49;56;49;72;78;65;41
H. Sato;36;Japan;67;67;Nagoya Grampus;Left;High/ Medium;No;ST;70;67;62;64;38;75;74;39;65;44;67
R. Matthews;24;England;67;75;Bolton Wanderers;Right;Medium/ Medium;No;GK;15;15;22;23;44;46;30;29;46;24;22
T. Bishop;21;England;67;77;Ipswich Town;Right;Medium/ Medium;No;CM;62;41;70;72;69;77;60;64;59;50;51
Lluis López;21;Spain;67;77;RCD Espanyol;Left;Low/ Medium;No;CB;24;70;47;64;64;64;46;51;56;71;33
S. McLaughlin;28;Republic of Ireland;67;67;Southend United;Left;High/ Medium;No;RM;62;55;66;65;77;84;61;80;59;54;53
E. Aguilar;26;Costa Rica;67;68;Incheon United FC;Left;Medium/ Medium;No;CM;58;37;68;67;64;56;65;63;68;56;44
M. Asselah;31;Algeria;67;67;Al Hazem;Right;Medium/ Medium;No;GK;8;21;8;16;42;51;21;30;58;22;14
A. Dembélé;30;France;67;67;AC Ajaccio;Right;High/ High;No;CM;57;56;72;66;80;91;52;90;68;84;40
Breno Laranjeiro;30;Brazil;67;67;Ceará Sporting Club;Left;Medium/ Medium;No;CAM;58;63;65;71;68;63;53;59;52;40;63
J. Nietfeld;24;Germany;67;73; SSV Jahn Regensburg;Right;Medium/ Medium;No;ST;70;62;63;68;63;60;68;65;60;28;61
A. Šemper;20;Croatia;67;80;Chievo Verona;Right;Medium/ Medium;No;GK;15;12;12;15;19;21;18;21;47;26;15
T. Hájek;26;Czech Republic;67;69;Viktoria Plzeň;Left;Medium/ Medium;No;CB;23;62;28;42;58;41;32;58;76;44;32
Dani Rodríguez;30;Spain;67;67;RCD Mallorca;Right;Medium/ Medium;No;RCM;68;56;66;69;70;67;61;64;64;60;52
M. Deplagne;26;France;67;68;ESTAC Troyes;Right;Low/ High;No;RB;21;71;31;63;57;49;35;69;73;81;58
G. Díaz;28;Argentina;67;67;Defensa y Justicia;Left;Medium/ Low;No;LM;53;48;71;70;76;76;65;52;57;49;62
C. Brunner;24;Switzerland;67;73;DSC Arminia Bielefeld;Right;Medium/ Medium;No;RB;54;60;63;66;63;66;66;76;67;59;39
P. Lipski;24;Poland;67;73;Lechia Gdańsk;Right;Medium/ Medium;No;LCM;55;56;65;69;71;72;66;67;65;44;63
André Ferreira;22;Portugal;67;75;CD Aves;Right;Medium/ Medium;No;GK;17;12;18;24;38;59;20;33;76;27;20
A. Ribera;22;Bolivia;67;72;;Right;Medium/ Medium;No;RM;58;55;70;67;73;71;69;76;47;33;62
Assis;28;Brazil;67;67;Boavista FC;Right;Medium/ Medium;No;GK;13;9;12;22;42;64;24;38;69;24;13
G. Hernández;25;Mexico;67;72;Club Necaxa;Left;High/ Medium;No;CM;60;61;73;68;70;74;65;68;61;57;69
J. Pineda;29;Chile;67;67;CD Universidad de Concepción;Right;High/ Medium;No;LW;65;53;71;70;81;80;67;56;60;57;70
M. Donoso;31;Chile;67;67;Club Deportes Temuco;Right;Medium/ Medium;No;ST;69;74;55;60;41;59;72;75;86;70;65
L. Zander;22;Germany;67;74;FC St. Pauli;Right;Medium/ Medium;No;RB;35;57;57;63;74;68;46;75;64;66;36
Curro Sánchez;22;Spain;67;74;Sevilla FC;Left;Medium/ Medium;No;LM;60;43;67;69;72;75;48;64;43;38;56
Santamaría;33;Spain;67;67;SD Huesca;Right;Medium/ Medium;No;GK;20;20;12;15;48;49;25;40;62;36;16
Z. Dedič;33;Slovenia;67;67;FC Wacker Innsbruck;Right;Medium/ Medium;No;ST;67;57;67;68;75;72;73;70;68;72;70
C. Vargas;28;Colombia;67;69;Atlético Nacional;Right;Medium/ Medium;No;GK;19;14;13;19;45;38;18;38;56;23;21
Akieme;20;Spain;67;72;Rayo Vallecano;Left;Medium/ Medium;No;LB;26;57;63;65;76;72;49;70;60;65;40
Tete Morente;21;Spain;67;79;Gimnàstic de Tarragona;Right;Medium/ Medium;No;LM;65;60;70;69;86;79;64;71;67;63;59
Shin Hyung Min;31;Korea Republic;67;67;Jeonbuk Hyundai Motors;Right;Medium/ Medium;No;LM;50;58;63;64;67;63;81;83;71;64;68
N. Yennaris;25;England;67;70;Brentford;Right;High/ Medium;No;RCM;63;53;62;65;75;81;63;78;64;68;50
P. van Ooijen;26;Netherlands;67;69;VVV-Venlo;Right;Medium/ Medium;No;CM;58;57;66;68;58;67;70;62;61;45;61
G. Cvijanović;31;Slovenia;67;67;Arka Gdynia;Right;High/ Medium;No;CAM;66;43;67;69;69;60;76;79;70;66;63
T. Taguchi;27;Japan;67;68;Júbilo Iwata;Right;High/ Medium;No;LCM;52;40;66;68;71;81;55;86;63;40;48
M. Saunier;28;France;67;67;FC Lorient;Right;Medium/ Medium;No;CB;16;62;50;63;35;55;68;65;73;68;55
L. Parunashvili;25;Georgia;67;72;Esbjerg fB;Right;Medium/ High;No;CDM;44;47;57;66;58;62;55;77;61;48;45
R. Acquafresca;30;Italy;67;67;FC Sion;Right;Medium/ Low;No;ST;65;71;64;65;69;67;68;56;74;46;68
C. Tabó;24;Uruguay;67;69;Puebla FC;Right;Medium/ Medium;No;LCM;61;41;72;68;83;76;60;64;64;36;50
Claytisco Branco;34;Brazil;67;67;Santos;Right;Medium/ High;No;RB;46;60;52;59;63;58;63;57;67;77;56
S. Nijland;29;Netherlands;67;67;De Graafschap;Right;Medium/ Medium;No;CAM;65;63;69;69;59;68;75;32;65;50;66
J. Guthrie;25;England;67;68;Walsall;Left;Medium/ High;No;LCB;28;67;54;56;66;45;37;82;80;66;40
J. Fernández;23;Argentina;67;75;CD Palestino;Right;Medium/ Medium;No;LCM;49;64;59;63;75;64;61;92;72;67;52
R. Crivello;26;Italy;67;67;Spezia;Left;High/ Medium;No;LB;46;57;59;59;72;58;48;79;64;58;37
T. Ayasse;31;France;67;67;Stade Brestois 29;Right;Medium/ High;No;CDM;41;61;48;62;55;60;63;91;74;72;54
D. Zúñiga;21;Chile;67;78;CD Everton de Viña del Mar;Right;High/ Medium;No;LB;34;45;63;62;74;65;59;81;66;45;38
L. Załuska;36;Poland;67;67;Pogoń Szczecin;Right;Medium/ Medium;No;GK;18;14;29;23;54;43;19;28;72;22;45
R. Vasilev;27;Bulgaria;67;67;;Right;Medium/ Medium;No;ST;67;70;65;67;66;62;71;65;67;36;45
M. Schmerböck;24;Austria;67;73;Wolfsberger AC;Left;Medium/ Medium;No;RS;67;56;69;66;77;78;65;66;65;46;46
Y. Abe;36;Japan;67;67;Urawa Red Diamonds;Right;Medium/ Medium;No;CB;67;62;60;72;56;62;66;58;61;62;70
